ID,App_Name,Genre,Price,User_Rating,Rating_Count_Total,User_Review
74,Grand Theft Auto: Chinatown Wars,Arcade,4.99,4,15142,I honestly love this game. It's really easy to absorb yourself into  yet not too addictive. I absolutely love the simplicity of it
75,The Sims 3 World Adventures,Action,2.99,3.5,9744,It's fun to play. They're constantly making adjustments and improvements  because they listen to the feedback. There isn't a high pay-to-win aspect  which is refreshing. The promise of new content with every event is really nice  too! Highly recommended!
76,Glow Hockey 2 FREE,Action,0,3.5,186653,"Such an addictive game. It might take a few tries to get the hang of it, but once you do you won't be able to stop playing. I started this game one hour ago and I'm still playing, even tho I should get in bed by now."
77,All-in-1 Logic GameBox,Action,0.99,4,9854,I honestly love this game. It's really easy to absorb yourself into  yet not too addictive. I absolutely love the simplicity of it
78,Sonic the Hedgehog 2,Arcade,2.99,4,9405,Love it longest game I kept on me phone
79,Doodle Army,Casual,0.99,4,12354,"Game is addicting at first. Once you start unlocking everything, the addiction fades away."
80,Plants vs. Zombies,Arcade,0.99,5,426463,I've been thinking of getting into this game for a while now but I regret not getting into it sooner! It's fun!
81,Flick Kick Field Goal,Casual,1.99,4.5,36946,Sometimes the first is always the best! I have maxed this game out. I have unlocked everything and completed all the challenges! And all without having to buy any powerups! :D An amazing game and well worth it! A must get!
82,"Dungeons & Such Treasures,Collectibles and Dragons",Arcade,2.99,4.5,653,I think this game is super fun but I do have better games that I like more but I would suggest this to all the people who are considering it.
83,F-Sim Space Shuttle,Action,4.99,4.5,6403,A great game to kill time. 
84,Sporcle,Puzzle,2.99,3.5,2044,It is an addicting games  that's for sure. I truly love the simpleness of the menus  and the sounds are lovely. I love it  and I've finished it many times now. I can safely rate it five stars. It's rather simple to master it once you get the hang of it  and further  more difficult levels provide a solid challenge  which is nice. There are a few packs that you must pay for  but there are more than enough free ones to allow someone to actually have fun with this game.
85,DOOM II RPG,Action,0.99,3,1455,Sometimes the first is always the best! I have maxed this game out. I have unlocked everything and completed all the challenges! And all without having to buy any powerups! :D An amazing game and well worth it! A must get!
86,STREET FIGHTER IV,Puzzle,4.99,4,15056,It is a fun game for all ages  minus the occasional restarting back to the beginning. It is really annoying especially when you are on a high level!
87,FINAL FANTASY,Sports,7.99,4,6091,Love this game! Its a great time killer  and the graphics are beautiful and relaxing. The only issue with this app is that  if you are playing online  it lags a lot.
88,FINAL FANTASY II,Arcade,7.99,4,2754,Angry birds. What more can I say? A classic!
89,Worms 2: Armageddon,Casual,4.99,4.5,9870,Best game I have ever played  10/10
90,Solitaire,Racing,0,4.5,679055,You can do almost anything in this game. Love it. 
91,Rubik's Cube,Racing,1.99,4,3531,"Too many ads and updates  even with the paid ""no ads"" version. Just trying to play with my friend  but get all of these distracting notifications for other nonsense in which I'm not interested."
92,Fruit Ninja Classic,Puzzle,1.99,4.5,698516,"To make this game more funner you should add simple,normal,and hard mode to every level"
93,Plants vs. Zombies HD,Arcade,0.99,5,163598,It is a good game it is complex. But... I think that the ads are not all kind friendly.
94,SCRABBLE Premium for iPad,Simulation,9.99,3.5,39678,Takes too long to update app. Ruins the moments when I want to play and I have to update.
95,Space War HD,Casual,0.99,3,71,Warning! The most addictive game ever! Uninstalling before I ruin my career and life... Installed again.
96,Call of Duty: Zombies HD,Adventure;Action & Adventure,4.99,3.5,5853,It was a good game starting out but then started to glitch and now I can't play it
97,Small World 2,Action,1.99,4,1506,Ads ads ads everytime....so annoying don't install it
98,Fieldrunners for iPad,Arcade,3.99,4,2147,Man this is the best game EVER  it's just so addicting! But there's a *downfall*  is there a way you can make it less *laggier* PLZ! It's JUST LAGG. And if you want your reviews to actually be seen by the company. Go to feedback for the app or something like that. Y did I write the review  idk
99,Angry Birds HD,Casual,0,4.5,89110,My child plays this all the time and it keeps their attention for hours! Very fun and addicting.
100,AirCoaster - Roller Coaster Builder,Puzzle,0.99,3,2602,Great game concept  with good graphics and some nice customization features. The gameplay against the AI is boring. The online play fun  if it works. The lag is killing the gameplay.
101,?Sudoku,Puzzle,0,4.5,359832,ITS CHALLENGING AND ADDICTIVE. I CALL IT MY 2ND JOB BC IM ON IT WORKING ON MY ACCOUNT 8 HRS DAILY EVEN THOUGH ITS TERRIBLE :'(
102,The Impossible Game,Arcade,0.99,4,9885,Love this game been playing it for a couple of years. I find it very relaxing after a hard days work.
103,My Virtual Girlfriend - Deluxe Dating Sim,Sports,0.99,3.5,2609,I've been thinking of getting into this game for a while now but I regret not getting into it sooner! It's fun!
104,Math Ninja HD,Action,1.99,4.5,1121,Relaxing game.
105,?Sudoku +,Action,4.99,5,5397,I love this game so much my little cousin does not get off my phone
106,GeoBee Challenge HD by National Geographic,Arcade,1.99,4.5,1957,"It's my favorite game to play during my lunch break and before bed, very relaxing and it makes me really happy when it let's me win often."
107,Cat Physics,Action,1.99,4.5,40552,I honestly love this game. It's really easy to absorb yourself into  yet not too addictive. I absolutely love the simplicity of it
108,BATTLE BEARS -1,Action,0.99,4,14910,It's so laggy and I'm bad now because of the fake tiles
109,Crash Bandicoot Nitro Kart 2,Music,2.99,3.5,3064,This game is too easy! For difficulty settings after hard you should add extreme for people who want a challenge
110,Robot Unicorn Attack,Action,0.99,4,22150,Allows you to be creative. Love it
111,Carcassonne,Arcade,9.99,4.5,10846,It's fun to play. They're constantly making adjustments and improvements  because they listen to the feedback. There isn't a high pay-to-win aspect  which is refreshing. The promise of new content with every event is really nice  too! Highly recommended!
112,Doodle God,Adventure,1.99,4.5,35759,Man this is the best game EVER  it's just so addicting! But there's a *downfall*  is there a way you can make it less *laggier* PLZ! It's JUST LAGG. And if you want your reviews to actually be seen by the company. Go to feedback for the app or something like that. Y did I write the review  idk
113,Carnivores: Dinosaur Hunter Pro,Word,2.99,4,18306,Love the gameplay  love the updates and constant improvements. Only wish there was a way to keep game play smooth when data is moving in and out in the background or a setting to suppress all other activity and give all resources this app when playing. Wish you had your own server to save purchases and game progress that worked across platforms.
114,Cake Doodle,Casual,0.99,4,5803,I downloaded this game maybe a half hour ago  and it has crashed upon opening every time I've tried. It just freezes on the title screen  and crashes.
115,The Impossible Quiz! for iPad,Arcade,1.99,4,227,Gets repetitive and boring. 2/5
116,Family Feud HD,Arcade,6.99,3.5,1156,This game is too easy! For difficulty settings after hard you should add extreme for people who want a challenge
117,Drift Mania Championship,Puzzle,0.99,3,3432,Help would be greatly appreciated. I pre-registered the game and i downloaded it and it said that an error occurred. I followed the steps in the customer support area (reset phone  uninstalled app  cleared cache  etc.) It still wont work and i dont know why. Please help
118,Osmos for iPad,Arcade,4.99,4.5,24306,"Look, I'm not on for criticism but the game is overall awful. I seen this game on an ad as usual, getting swarmed by them as normal so I thought I would try it out but LORD let me tell you. It was just plain terrible. "
119,Sushi Cat,Board,0.99,4,8718,Love the gameplay  love the updates and constant improvements. Only wish there was a way to keep game play smooth when data is moving in and out in the background or a setting to suppress all other activity and give all resources this app when playing. Wish you had your own server to save purchases and game progress that worked across platforms.
120,????????,Arcade,4.99,4,6,I'm playing this game since the time when there were only 8 levels. Then and even now this is my most favorite game. I'm greatly addicted to this game and whenever I have time I play it. The graphics are really amazing and background music in some levels are superb!!! Moreover all the levels are ver...
121,Osmos,Racing,2.99,4.5,14605,this is a very fun game to play on the school bus
122,The Secret of Grisly Manor,Casual,0.99,4,1993,BRICKS AND BALLS. GREAT GAME
123,The Incident,Arcade,0.99,4,2070,Best game ever my little sis has it on her phone and I play it ALL of the time can t want to see if it has they same gameplay as my tablet
124,Reckless Racing HD,Arcade,0.99,4,9,Sometimes the first is always the best! I have maxed this game out. I have unlocked everything and completed all the challenges! And all without having to buy any powerups! :D An amazing game and well worth it! A must get!
125,Bloons Super Monkey,Arcade,0.99,3.5,2113,Too many updates for this game. Gets annoying after awhile. Game is fun otherwise.
126,Infinity Blade,Simulation,0.99,5,326482,"Its was great, until updated today. It froze & closed 6 times today, 3 times in a row. That's more then it ever has in the 8 mths I've been playing."
127,Virtual Regatta Offshore,Arcade,0,3.5,209,This used to be a go to app of mine. Great for casual play and doesn't need a data connection. Their recent update ruined it. I think something with the video ads causes the app to be poorly responsive.
128,iSlash,Puzzle,0.99,4.5,33868,Crashed in first few seconds  was unable to play  do not download.
129,2XL Supercross HD,Trivia,4.99,3.5,1588,It's always full of bugs even the latest versions
130,The Sims 3 Ambitions,Simulation,4.99,3.5,14202,This game is really good! The only problem is that the background can look really dull after a while.
131,UFO on Tape,Action,0.99,3.5,1058,It is an addicting games  that's for sure. I truly love the simpleness of the menus  and the sounds are lovely. I love it  and I've finished it many times now. I can safely rate it five stars. It's rather simple to master it once you get the hang of it  and further  more difficult levels provide a solid challenge  which is nice. There are a few packs that you must pay for  but there are more than enough free ones to allow someone to actually have fun with this game.
132,Catan HD,Arcade,1.99,4,10382,Pay to win. Terrible game experience.
133,Polar Plunge,Action,0.99,3.5,1428,It's fun to play. They're constantly making adjustments and improvements  because they listen to the feedback. There isn't a high pay-to-win aspect  which is refreshing. The promise of new content with every event is really nice  too! Highly recommended!
134,Neuroshima Hex,Simulation,4.99,4.5,4378,"Too many ads and updates  even with the paid ""no ads"" version. Just trying to play with my friend  but get all of these distracting notifications for other nonsense in which I'm not interested."
135,Spider Solitaire by MobilityWare,Puzzle,4.99,4.5,11154,if you rate this app with one star even with two stars that means you are crazy. SORRY!! and the game work at a pizza place so nice and pretty i used play for years. and now i still use them more than my own apps. but the thing i am thinking about it the money. most things that we have to buy for things and the game why we have to buy money for it  it is just an game.
136,Lane Splitter,Arcade,0.99,4.5,44567,Fantastic. I was hesitant to buy at first due to the reviews that mentioned that there were many bugs. However  I've had as great an experience!
137,BUBBLE BOBBLE DOUBLE,Arcade,4.99,3,206,This used to be a go to app of mine. Great for casual play and doesn't need a data connection. Their recent update ruined it. I think something with the video ads causes the app to be poorly responsive.
138,Sonic The Hedgehog 4 Episode I,Strategy,2.99,4,4755,Help would be greatly appreciated. I pre-registered the game and i downloaded it and it said that an error occurred. I followed the steps in the customer support area (reset phone  uninstalled app  cleared cache  etc.) It still wont work and i dont know why. Please help
139,Jenga,Arcade,0,4.5,32527,Its a single player game n im great at it. I usually get 4 out of 5 wins. Love it just wish it would be less commercials
140,Battleheart,Action,2.99,4.5,6879,Great game and engaging
141,Need for Speed Hot Pursuit,Sports,4.99,4,5059,It's fun to play. They're constantly making adjustments and improvements  because they listen to the feedback. There isn't a high pay-to-win aspect  which is refreshing. The promise of new content with every event is really nice  too! Highly recommended!
142,Age of Zombies,Action,0.99,4.5,14493,if you rate this app with one star even with two stars that means you are crazy. SORRY!! and the game work at a pizza place so nice and pretty i used play for years. and now i still use them more than my own apps. but the thing i am thinking about it the money. most things that we have to buy for things and the game why we have to buy money for it  it is just an game.
143,Spider Solitaire Free by MobilityWare,Arcade,0,4.5,128739,Love the gameplay  love the updates and constant improvements. Only wish there was a way to keep game play smooth when data is moving in and out in the background or a setting to suppress all other activity and give all resources this app when playing. Wish you had your own server to save purchases and game progress that worked across platforms.
144,Game Dev Story,Action,4.99,4.5,12331,Fun but i wish there was a way to send gifts to friends and more cool things to spend your cash on
145,Death Worm,Word,0.99,4,6527,"Played before, now there are so many ads more than 50% of game time is watching videos about stuff I could care less about."
146,Cartoon Wars 2: Heroes,Racing,0.99,4.5,13049,The controls are more difficult than the last time I played this game  which was a year or so ago. The new customization is very cool
147,Super Stickman Golf,Word,2.99,4.5,41446,Fantastic. I was hesitant to buy at first due to the reviews that mentioned that there were many bugs. However  I've had as great an experience!
148,Hotel Dash Deluxe,Action,0.99,4.5,36190,GREAT GAME! LOVE IT 9/10
149,Backbreaker 2: Vengeance,Role Playing,0.99,4.5,14491,This used to be a go to app of mine. Great for casual play and doesn't need a data connection. Their recent update ruined it. I think something with the video ads causes the app to be poorly responsive.
150,Angry Birds Seasons HD,Arcade,0,4,75714,The game is really awesome with great compatibility to devices running on kitkat version. 
151,Gravity Guy,Adventure,0.99,4.5,35161,Great game concept  with good graphics and some nice customization features. The gameplay against the AI is boring. The online play fun  if it works. The lag is killing the gameplay.
152,Puzzle Quest 2,Racing,2.99,3.5,1575,It's fun to play. They're constantly making adjustments and improvements  because they listen to the feedback. There isn't a high pay-to-win aspect  which is refreshing. The promise of new content with every event is really nice  too! Highly recommended!
153,Mountain Biker,Role Playing,1.99,3.5,24,Man this is the best game EVER  it's just so addicting! But there's a *downfall*  is there a way you can make it less *laggier* PLZ! It's JUST LAGG. And if you want your reviews to actually be seen by the company. Go to feedback for the app or something like that. Y did I write the review  idk
154,Stratego Single Player,Action,2.99,3.5,739,Love this game! Its a great time killer  and the graphics are beautiful and relaxing. The only issue with this app is that  if you are playing online  it lags a lot.
155,Reiner Knizia's Ra,Strategy,3.99,4.5,1114,I think it would be great for me and my family.
156,Flick Golf!,Casual,0.99,4.5,9948,My child plays this all the time and it keeps their attention for hours! Very fun and addicting.
157,World of Goo,Board,4.99,4.5,4675,Great game. Only thing wrong is that on 3 occasions I've just randomly lost my progress. It's getting to be a joke. I emailed customer service a week ago and still have had nothing back.
158,NBA JAM by EA SPORTS,Word,4.99,4,21648,if you rate this app with one star even with two stars that means you are crazy. SORRY!! and the game work at a pizza place so nice and pretty i used play for years. and now i still use them more than my own apps. but the thing i am thinking about it the money. most things that we have to buy for things and the game why we have to buy money for it  it is just an game.
159,Dungeon Raid,Sports,0.99,5,4401,"THIS GAME MADE ME ADDICT. ASWOME GRAPHICS!! need some more bug fixes, gameplay is good. It lags a bit. "
160,Fruit Ninja,Action,0,4.5,327025,I've been thinking of getting into this game for a while now but I regret not getting into it sooner! It's fun!
161,LEGO Harry Potter: Years 1-4,Arcade,4.99,4,10463,Really good for children under 10 or 11
162,Rat On A Skateboard,Casual,1.99,4.5,28672,Fun but i wish there was a way to send gifts to friends and more cool things to spend your cash on
163,Pocket God: Journey To Uranus,Simulation,1.99,3.5,6278,I absolutely love this game. Enough to make inapp purchases which says a lot. Wish there were girl characters thats about it
164,Bloons TD 4,Puzzle,2.99,4.5,8304,Crashed in first few seconds  was unable to play  do not download.
165,MONOPOLY for iPad,Action,4.99,3.5,8165,The game ran smoothly on my device and kept me occupied for hours! Very Addicting!
166,Eden - World Builder,Action,0.99,4,26419,The controls are more difficult than the last time I played this game  which was a year or so ago. The new customization is very cool
167,The 7th Guest,Strategy,4.99,4,1419,this is a very fun  and addicting game to play when im on the train. Thanks!
168,Secret of Mana,Simulation,7.99,4,990,It is a fun game for all ages  minus the occasional restarting back to the beginning. It is really annoying especially when you are on a high level!
169,SimplePhysics,Strategy,1.99,4.5,8981,Most worst game shows tutorial again and again which disturbs the game while playing and need to watch ads during that time
170,Hot Springs Story,Role Playing,4.99,4.5,554,It's very good. I don't many my friends to play. They started playing but now they are saying 1 emoji is to be available free or for gold not for diamond. 
171,Slingo Supreme HD,Strategy,0.99,4.5,4094,Keeps crashing on the first day every time I try to play. Super disappointed.
172,Mad Skills Motocross,Strategy,0.99,4.5,9341,ITS CHALLENGING AND ADDICTIVE. I CALL IT MY 2ND JOB BC IM ON IT WORKING ON MY ACCOUNT 8 HRS DAILY EVEN THOUGH ITS TERRIBLE :'(
173,QWOP for iOS,Role Playing,0.99,4,735,The controls are more difficult than the last time I played this game  which was a year or so ago. The new customization is very cool
174,Carnivores: Ice Age Pro,Strategy,2.99,4.5,13258,In-App Purchases are overpriced  but overall the gameplay was fun and kept me interested in the game.
175,Legendary Wars,Strategy,0.99,4.5,29739,It is a fun game for all ages  minus the occasional restarting back to the beginning. It is really annoying especially when you are on a high level!
176,The Lost City,Role Playing,1.99,4.5,1393,ITS CHALLENGING AND ADDICTIVE. I CALL IT MY 2ND JOB BC IM ON IT WORKING ON MY ACCOUNT 8 HRS DAILY EVEN THOUGH ITS TERRIBLE :'(
177,Tasty Planet,Action,2.99,4.5,430,Help would be greatly appreciated. I pre-registered the game and i downloaded it and it said that an error occurred. I followed the steps in the customer support area (reset phone  uninstalled app  cleared cache  etc.) It still wont work and i dont know why. Please help
178,Feed the Head,Strategy,1.99,4.5,193,if you rate this app with one star even with two stars that means you are crazy. SORRY!! and the game work at a pizza place so nice and pretty i used play for years. and now i still use them more than my own apps. but the thing i am thinking about it the money. most things that we have to buy for things and the game why we have to buy money for it  it is just an game.
179,Tiny Wings,Board,0.99,4.5,219418,Addicting game and constant add ons. Great game. Worth every penny
180,Temple Run,Board,0,4.5,1724546,Help would be greatly appreciated. I pre-registered the game and i downloaded it and it said that an error occurred. I followed the steps in the customer support area (reset phone  uninstalled app  cleared cache  etc.) It still wont work and i dont know why. Please help
181,Angry Birds Rio,Puzzle,0,4.5,170843,It takes for ever for you to play a game
182,Angry Birds Rio HD,Strategy,0,4.5,70122,Had 4 phones and none of them got this damn game to work. im so fucking pissed. Im missing out so much.
183,My Horse,Simulation;Education,0,4.5,293857,It should not be tough for noobs
